TimePeriod,GeoType,Geography,Percent
2017-21,Borough,Bronx,74.1
2017-21,Borough,Brooklyn,83.7
2017-21,Borough,Manhattan,88.4
2017-21,Borough,Queens,82.7
2017-21,Borough,Staten Island,88.6
