TimePeriod,GeoType,GeoID,GeoRank,Geography,Everyday (number),Everyday (percent),Never (number),Never (percent),Sometimes (number),Sometimes (percent)
2017,UHF34,105106107,3,South Bronx,"96,000","24.0 (19.5, 29.2)","178,000","44.6 (46.9, 57.6)","125,000","31.4 (26.9, 36.4)"
2017,Borough,1,1,Bronx,"175,000","16.7 (14.2, 19.5)","544,000","51.8 (48.5, 55.1)","331,000","31.5 (28.6, 34.6)"
2017,Borough,2,1,Brooklyn,"207,000","10.5 (9.2, 12.1)","1,209,000","61.5 (59.2, 63.7)","550,000","28.0 (26.0, 30.1)"
2017,Borough,3,1,Manhattan,"122,000","9.2 (7.3, 11.5)","827,000","62.2 (58.7, 65.6)","380,000","28.6 (25.5, 31.9)"
2017,Borough,4,1,Queens,"149,000","8.2 (6.8, 9.9)","1,216,000","66.8 (64.1, 69.4)","454,000","25.0 (22.6, 27.5)"
2017,Borough,5,1,Staten Island,"40,000","11.2 (7.4, 16.5)","267,000","73.9 (67.8, 79.2)","54,000","14.9 (11.1, 19.7)"
2017,Citywide,1,0,New York City,"694,000","10.6 (9.8, 11.6)","4,062,000","62.3 (60.9, 63.6)","1,769,000","27.1 (25.9, 28.4)"
2014,UHF34,101,3,Kingsbridge - Riverdale,"1,000*","0.9* (0.2, 3.5)","54,000*","75.8* (62.3, 85.7)","16,000*","23.2* (13.6, 36.8)"
2014,UHF34,102,3,Northeast Bronx,"9,000*","6.1* (2.5, 13.9)","108,000","75.2 (65.3, 83)","27,000","18.7 (12.3, 27.5)"
2014,UHF34,103,3,Fordham - Bronx Pk,"26,000","14.7 (10.2, 20.7)","98,000","55.0 (46.8, 62.9)","54,000","30.3 (23.4, 38.3)"
2014,UHF34,104,3,Pelham - Throgs Neck,"25,000","11.4 (7.5, 17.1)","143,000","65.6 (57.4, 72.9)","50,000","23.0 (16.8, 30.6)"
2014,UHF34,201,3,Greenpoint,"3,000*","3.2* (1.3, 7.7)","66,000*","65.5* (52.4, 76.6)","32,000*","31.3* (20.5, 44.6)"
2014,UHF34,202,3,Downtown - Heights - Slope,"13,000*","7.3* (3.2, 15.6)","110,000","63.3 (53, 72.5)","51,000","29.4 (21.1, 39.5)"
2014,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"31,000","12.9 (9.2, 17.9)","147,000","61.0 (54.1, 67.4)","63,000","26.1 (20.6, 32.6)"
2014,UHF34,204,3,East New York,"17,000","12.8 (8.3, 19.1)","89,000","65.8 (57, 73.6)","29,000","21.5 (15.1, 29.6)"
2014,UHF34,205,3,Sunset Park,"11,000*","11.5* (5.2, 23.7)","60,000*","62.1* (51.4, 71.8)","25,000","26.4 (18.4, 36.3)"
2014,UHF34,206,3,Borough Park,"13,000","5.5 (3.1, 9.7)","145,000","61.7 (52.6, 70)","77,000","32.8 (24.8, 41.9)"
2014,UHF34,207,3,East Flatbush - Flatbush,"29,000","12.4 (8.1, 18.5)","135,000","58.2 (49.8, 66.1)","68,000","29.4 (22.3, 37.8)"
2014,UHF34,208,3,Canarsie - Flatlands,"9,000*","5.6* (2.9, 10.8)","106,000","69.5 (59, 78.4)","38,000","24.8 (16.5, 35.5)"
2014,UHF34,209,3,Bensonhurst - Bay Ridge,"17,000*","10.1* (5.2, 18.6)","113,000*","68.5* (57.4, 77.9)","35,000","21.4 (13.4, 32.3)"
2014,UHF34,210,3,Coney Island - Sheepshead Bay,"35,000","14.9 (9.6, 22.6)","135,000","58.2 (49.5, 66.4)","63,000","26.9 (19.9, 35.3)"
2014,UHF34,211,3,Williamsburg - Bushwick,"22,000","14.3 (8.9, 22.1)","85,000","54.6 (45.7, 63.1)","48,000","31.1 (23.5, 39.9)"
2014,UHF34,301,3,Washington Heights,"23,000","11.7 (7.7, 17.4)","111,000","56.1 (48.3, 63.6)","64,000","32.2 (25.4, 39.9)"
2014,UHF34,302,3,Central Harlem - Morningside Heights,"17,000","14.4 (9.6, 21.1)","66,000*","55.3* (45.1, 65.2)","36,000","30.3 (21.4, 41)"
2014,UHF34,303,3,East Harlem,"14,000","18.8 (12.4, 27.6)","33,000*","43.4* (33.3, 54.1)","29,000*","37.8* (27.3, 49.5)"
2014,UHF34,304,3,Upper West Side,"5,000*","2.8* (1.2, 6.7)","132,000","72.8 (64.4, 79.8)","44,000","24.4 (17.6, 32.8)"
2014,UHF34,401,3,Long Island City - Astoria,"17,000*","9.7* (4.7, 19)","97,000","56.0 (46, 65.6)","60,000","34.3 (25.5, 44.4)"
2014,UHF34,402,3,West Queens,"27,000","7.4 (4.5, 11.8)","229,000","61.9 (54.8, 68.6)","113,000","30.7 (24.4, 37.8)"
2014,UHF34,403,3,Flushing - Clearview,"15,000","6.8 (4.1, 11.2)","164,000","75.5 (68.2, 81.6)","39,000","17.7 (12.4, 24.7)"
2014,UHF34,405,3,Ridgewood - Forest Hills,"18,000*","8.8* (4.6, 16.2)","151,000","75.7 (66.8, 82.9)","31,000","15.4 (9.9, 23.3)"
2014,UHF34,407,3,Southwest Queens,"24,000*","11.9* (6.3, 21.3)","139,000","68.5 (58.8, 76.8)","40,000","19.6 (13.3, 27.9)"
2014,UHF34,408,3,Jamaica,"13,000*","5.7* (3.1, 10.3)","147,000","67.0 (58.2, 74.7)","60,000","27.2 (19.9, 36.1)"
2014,UHF34,409,3,Southeast Queens,"3,000*","1.8* (0.5, 6.3)","129,000","85.0 (76.2, 90.9)","20,000","13.2 (7.6, 21.9)"
2014,UHF34,410,3,Rockaways,"4,000*","4.6* (2.3, 8.7)","62,000","75.9 (65, 84.2)","16,000","19.5 (12, 30.2)"
2014,UHF34,305307,3,Upper East Side-Gramercy,"16,000*","5.1* (2.5, 9.8)","215,000","69.3 (62.1, 75.8)","79,000","25.6 (19.6, 32.7)"
2014,UHF34,306308,3,Chelsea-Village  ,"13,000*","6.3* (3, 12.7)","142,000","69.8 (61.8, 76.7)","49,000","23.9 (17.9, 31.2)"
2014,UHF34,309310,3,Union Square-Lower Manhattan,"22,000","10.5 (6.8, 15.7)","129,000","62.1 (54.2, 69.3)","57,000","27.5 (20.9, 35.2)"
2014,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"10,000*","6.7* (3.1, 13.8)","111,000","73.9 (62.7, 82.7)","29,000","19.4 (11.5, 30.7)"
2014,UHF34,501502,3,Northern SI,"13,000","9.4 (5.9, 14.6)","104,000","72.6 (64, 79.7)","26,000","18.1 (11.8, 26.6)"
2014,UHF34,503504,3,Southern SI,"16,000","7.4 (4.1, 13)","167,000","78.1 (71.5, 83.5)","31,000","14.5 (10.2, 20.1)"
2014,UHF34,105106107,3,South Bronx,"65,000","17.1 (13.3, 21.7)","198,000","52.3 (46.9, 57.6)","116,000","30.6 (25.9, 35.8)"
2014,Borough,1,1,Bronx,"126,000","12.6 (10.5, 15.1)","607,000","60.7 (57.1, 64.2)","267,000","26.7 (23.7, 30)"
2014,Borough,2,1,Brooklyn,"203,000","10.5 (8.9, 12.3)","1,205,000","62.1 (59.3, 64.8)","532,000","27.4 (24.9, 30.1)"
2014,Borough,3,1,Manhattan,"111,000","8.4 (6.9, 10.3)","840,000","64.1 (61, 67.1)","360,000","27.5 (24.6, 30.5)"
2014,Borough,4,1,Queens,"130,000","7.3 (5.8, 9.2)","1,234,000","69.7 (66.7, 72.5)","407,000","23.0 (20.4, 25.8)"
2014,Borough,5,1,Staten Island,"29,000","8.2 (5.6, 11.9)","271,000","75.9 (70.8, 80.3)","57,000","15.9 (12.2, 20.6)"
2014,Citywide,1,0,New York City,"598,000","9.4 (8.6, 10.3)","4,157,000","65.2 (63.7, 66.6)","1,623,000","25.4 (24.1, 26.8)"
2013,UHF34,101,3,Kingsbridge - Riverdale,"6,000*","8.6* (3.1, 21.4)","40,000*","58.8* (45.8, 70.6)","22,000*","32.7* (21.8, 45.8)"
2013,UHF34,102,3,Northeast Bronx,"11,000*","8.3* (4.3, 15.3)","74,000","54.9 (45.2, 64.3)","50,000","36.8 (28.1, 46.5)"
2013,UHF34,103,3,Fordham - Bronx Pk,"22,000","12.4 (7.7, 19.4)","80,000","45.8 (37.4, 54.5)","73,000","41.7 (33.4, 50.6)"
2013,UHF34,104,3,Pelham - Throgs Neck,"28,000","13.1 (8.6, 19.6)","112,000","52.0 (44.4, 59.5)","75,000","34.9 (28.2, 42.2)"
2013,UHF34,201,3,Greenpoint,"8,000*","8.8* (3.9, 18.7)","47,000*","49.7* (38.8, 60.6)","39,000*","41.5* (31.1, 52.7)"
2013,UHF34,202,3,Downtown - Heights - Slope,"15,000*","8.9* (4.4, 17.3)","87,000","50.7 (40.8, 60.5)","69,000","40.3 (31, 50.5)"
2013,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"37,000","15.7 (10.7, 22.5)","135,000","57.5 (50, 64.8)","63,000","26.7 (20.8, 33.7)"
2013,UHF34,204,3,East New York,"15,000","11.0 (6.6, 17.9)","81,000","61.8 (52.1, 70.7)","36,000","27.2 (19.4, 36.6)"
2013,UHF34,205,3,Sunset Park,"13,000","13.9 (8.4, 22.3)","42,000","46.0 (36.6, 55.7)","36,000","40.1 (30.7, 50.3)"
2013,UHF34,206,3,Borough Park,"30,000","13.0 (7.4, 21.8)","136,000","58.4 (49.4, 66.9)","67,000","28.6 (21.5, 36.9)"
2013,UHF34,207,3,East Flatbush - Flatbush,"19,000*","8.6* (4.5, 15.8)","134,000","59.7 (50.7, 68.1)","71,000","31.7 (23.9, 40.7)"
2013,UHF34,208,3,Canarsie - Flatlands,"11,000*","7.2* (3.7, 13.5)","104,000","70.2 (59.9, 78.8)","34,000","22.6 (15.1, 32.3)"
2013,UHF34,209,3,Bensonhurst - Bay Ridge,"8,000*","5.2* (2.2, 12)","97,000*","60.4* (49.2, 70.5)","55,000*","34.4* (24.7, 45.6)"
2013,UHF34,210,3,Coney Island - Sheepshead Bay,"19,000","8.2 (4.7, 13.9)","129,000","57.3 (49.3, 64.8)","78,000","34.5 (27.4, 42.5)"
2013,UHF34,211,3,Williamsburg - Bushwick,"27,000","17.4 (11, 26.3)","73,000","47.4 (38.1, 56.9)","54,000","35.2 (26.3, 45.4)"
2013,UHF34,301,3,Washington Heights,"25,000","13.4 (8.1, 21.4)","88,000","46.5 (38.5, 54.7)","76,000","40.1 (32.2, 48.5)"
2013,UHF34,302,3,Central Harlem - Morningside Heights,"17,000","14.7 (9.3, 22.5)","64,000","54.1 (45, 62.8)","37,000","31.2 (23.6, 40)"
2013,UHF34,303,3,East Harlem,"12,000","15.7 (9.4, 25.2)","35,000*","45.4* (35.5, 55.7)","30,000","38.8 (29.7, 48.8)"
2013,UHF34,304,3,Upper West Side,"10,000*","5.6* (2.8, 10.6)","102,000","58.4 (50.6, 65.8)","63,000","36.0 (28.9, 43.8)"
2013,UHF34,401,3,Long Island City - Astoria,"16,000*","9.6* (4.7, 18.7)","94,000*","57.7* (46.8, 67.9)","53,000","32.7 (23.8, 43)"
2013,UHF34,402,3,West Queens,"34,000","9.8 (5.6, 16.6)","208,000","59.8 (52.6, 66.6)","106,000","30.4 (24.5, 37.1)"
2013,UHF34,403,3,Flushing - Clearview,"15,000","7.2 (4.5, 11.4)","140,000","69.3 (61.8, 76)","47,000","23.5 (17.3, 31)"
2013,UHF34,405,3,Ridgewood - Forest Hills,"14,000*","7.2* (3.8, 13.1)","129,000","64.9 (56.4, 72.5)","56,000","28.0 (21, 36.1)"
2013,UHF34,407,3,Southwest Queens,"10,000","4.8 (2.6, 8.5)","144,000","71.9 (64, 78.7)","47,000","23.3 (17, 31)"
2013,UHF34,408,3,Jamaica,"19,000*","8.8* (4.6, 16.3)","147,000","69.4 (61.1, 76.6)","46,000","21.8 (15.9, 29.1)"
2013,UHF34,409,3,Southeast Queens,"6,000*","4.2* (1.7, 10.1)","124,000","81.4 (73.7, 87.3)","22,000","14.4 (9.5, 21.3)"
2013,UHF34,410,3,Rockaways,**,**,"52,000*","67.3* (54.4, 78)","22,000*","28.7* (18.6, 41.6)"
2013,UHF34,305307,3,Upper East Side-Gramercy,"13,000*","4.3* (2.3, 7.9)","216,000","71.3 (65, 76.9)","74,000","24.4 (19.2, 30.4)"
2013,UHF34,306308,3,Chelsea-Village  ,"15,000*","7.5* (3.8, 14.5)","112,000","58.0 (50, 65.7)","67,000","34.4 (27.4, 42.2)"
2013,UHF34,309310,3,Union Square-Lower Manhattan,"24,000","11.7 (6.7, 19.8)","116,000","56.6 (48.2, 64.6)","65,000","31.7 (24.5, 40)"
2013,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"6,000*","4.3* (1.8, 9.9)","98,000","68.0 (58.7, 76.1)","40,000","27.7 (20, 36.8)"
2013,UHF34,501502,3,Northern SI,"9,000*","6.5* (3.5, 11.8)","93,000","66.4 (58.1, 73.9)","38,000","27.0 (20.1, 35.3)"
2013,UHF34,503504,3,Southern SI,"12,000","5.8 (3.3, 9.7)","170,000","79.7 (74, 84.4)","31,000","14.6 (10.6, 19.6)"
2013,UHF34,105106107,3,South Bronx,"61,000","16.3 (13, 20.2)","159,000","42.8 (38.1, 47.6)","153,000","41.0 (36.3, 45.8)"
2013,Borough,1,1,Bronx,"135,000","13.5 (11.4, 16)","486,000","48.6 (45.3, 52)","378,000","37.8 (34.7, 41.1)"
2013,Borough,2,1,Brooklyn,"204,000","10.7 (9, 12.7)","1,093,000","57.3 (54.5, 60.1)","611,000","32.0 (29.4, 34.7)"
2013,Borough,3,1,Manhattan,"119,000","9.1 (7.4, 11.3)","760,000","58.5 (55.4, 61.5)","421,000","32.4 (29.6, 35.3)"
2013,Borough,4,1,Queens,"126,000","7.1 (5.6, 9)","1,186,000","67.2 (64.4, 69.8)","454,000","25.7 (23.3, 28.3)"
2013,Borough,5,1,Staten Island,"21,000","6.0 (4, 9)","265,000","74.6 (69.8, 78.8)","69,000","19.4 (15.6, 23.9)"
2013,Citywide,1,0,New York City,"605,000","9.6 (8.7, 10.5)","3,790,000","59.9 (58.4, 61.3)","1,933,000","30.5 (29.2, 31.9)"
