TimePeriod,GeoType,GeoID,GeoRank,Geography,Asian alone (percent),Black alone (percent),Hispanic alone (percent),Non-white (percent),Total population,White alone (percent)
2015-19,NTA2010,8122,8,Flushing,72.8,3.5,14.5,92.9,"68,600",7.1
2015-19,NTA2010,8123,8,College Point,31.8,2.6,40.5,77.6,"24,750",22.4
2015-19,NTA2010,8125,8,Corona,15.0,11.0,66.3,93.9,"57,146",6.1
2015-19,NTA2010,8126,8,North Corona,8.1,3.2,86.9,98.6,"54,859",1.4
2015-19,NTA2010,8127,8,East Elmhurst,10.3,22.1,60.4,94.5,"18,752",5.5
2015-19,NTA2010,8128,8,Jackson Heights,23.6,2.7,55.4,83.7,"98,046",16.3
2015-19,NTA2010,8129,8,Elmhurst,45.8,1.6,44.8,94.2,"82,536",5.8
2015-19,NTA2010,8130,8,Maspeth,12.5,1.4,31.6,47.6,"33,329",52.4
2015-19,NTA2010,8131,8,Hunters Point-Sunnyside-West Maspeth,26.1,2.3,30.2,61.8,"69,649",38.2
2015-19,NTA2010,8133,8,Cambria Heights,0.4,89.9,6.4,99.0,"21,032",1.0
2015-19,NTA2010,8134,8,Queens Village,16.6,46.2,18.9,94.8,"54,518",5.2
2015-19,NTA2010,8135,8,Briarwood-Jamaica Hills,39.2,11.9,25.8,82.9,"43,761",17.1
2015-19,NTA2010,8137,8,Kew Gardens Hills,23.7,7.5,14.8,50.2,"37,538",49.8
2015-19,NTA2010,8138,8,Pomonok-Flushing Heights-Hillcrest,31.8,11.5,24.9,71.8,"35,946",28.2
2015-19,NTA2010,8141,8,Fresh Meadows-Utopia,47.3,5.7,13.8,72.0,"19,500",28.0
2015-19,NTA2010,8142,8,Oakland Gardens,44.1,4.0,12.4,63.3,"29,840",36.7
2015-19,NTA2010,8143,8,Bellerose,40.2,8.1,22.1,74.8,"27,643",25.2
2015-19,NTA2010,8144,8,Glen Oaks-Floral Park-New Hyde Park,42.0,4.9,9.7,60.8,"24,631",39.2
2015-19,NTA2010,8145,8,Douglas Manor-Douglaston-Little Neck,39.5,2.6,11.1,55.8,"25,400",44.2
2015-19,NTA2010,8146,8,Bayside-Bayside Hills,46.5,2.8,11.2,61.8,"42,718",38.2
2015-19,NTA2010,8147,8,Ft. Totten-Bay Terrace-Clearview,30.9,0.9,13.6,47.3,"21,990",52.7
2015-19,NTA2010,8148,8,Auburndale,50.4,0.4,12.5,65.2,"20,240",34.8
2015-19,NTA2010,8149,8,Whitestone,22.2,0.4,14.7,39.1,"31,749",60.9
2015-19,NTA2010,8150,8,Elmhurst-Maspeth,57.4,1.1,28.1,88.2,"23,789",11.8
2015-19,NTA2010,8151,8,Murray Hill,57.4,1.3,15.6,77.1,"50,102",22.9
2015-19,NTA2010,8152,8,East Flushing,64.6,1.3,17.9,85.5,"25,274",14.5
2015-19,NTA2010,8153,8,Woodhaven,23.6,3.2,55.4,85.3,"60,377",14.7
2015-19,NTA2010,8154,8,Richmond Hill,30.8,8.0,37.4,89.8,"65,274",10.2
2015-19,NTA2010,8155,8,South Ozone Park,32.4,20.8,22.1,94.8,"80,664",5.2
2015-19,NTA2010,8156,8,Ozone Park,26.0,5.8,41.8,78.5,"23,966",21.5
2015-19,NTA2010,8157,8,Lindenwood-Howard Beach,4.1,2.1,21.8,30.5,"28,313",69.5
2015-19,NTA2010,8160,8,Kew Gardens,15.7,7.2,26.7,53.5,"22,376",46.5
2015-19,NTA2010,8161,8,Jamaica,35.1,16.5,35.6,96.9,"54,754",3.1
2015-19,NTA2010,8162,8,Queensboro Hill,68.9,1.6,15.9,87.6,"20,166",12.4
2015-19,NTA2010,8163,8,Woodside,40.7,1.0,33.0,77.4,"41,942",22.6
2015-19,NTA2010,8166,8,Laurelton,1.0,87.7,7.0,98.4,"25,941",1.6
2015-19,NTA2010,8168,8,Queensbridge-Ravenswood-Long Island City,20.6,23.3,35.8,82.6,"18,938",17.4
2015-19,NTA2010,8170,8,Astoria,16.9,4.1,25.1,49.2,"74,094",50.8
2015-19,NTA2010,8171,8,Old Astoria,16.4,9.3,29.6,58.7,"23,694",41.3
2015-19,NTA2010,8172,8,Steinway,10.9,2.6,19.5,35.5,"47,234",64.5
2015-19,NTA2010,8176,8,Baisley Park,7.5,67.0,13.1,98.6,"37,849",1.4
2015-19,NTA2010,8501,8,Annadale-Huguenot-Prince's Bay-Eltingville,4.3,0.9,9.5,15.7,"29,801",84.3
2015-19,NTA2010,8505,8,New Springville-Bloomfield-Travis,19.1,3.5,14.9,40.1,"42,160",59.9
2015-19,NTA2010,8507,8,Westerleigh,9.4,3.2,16.4,30.4,"24,516",69.6
2015-19,NTA2010,8508,8,Grymes Hill-Clifton-Fox Hills,12.1,35.4,24.5,72.8,"21,480",27.2
2015-19,NTA2010,8511,8,Charleston-Richmond Valley-Tottenville,3.4,0.4,10.2,14.8,"23,834",85.2
2015-19,NTA2010,8512,8,Mariner's Harbor-Arlington-Port Ivory-Graniteville,9.2,28.7,37.6,77.7,"32,780",22.3
2015-19,NTA2010,8514,8,Grasmere-Arrochar-Ft. Wadsworth,14.8,7.5,13.4,38.0,"16,417",62.0
2015-19,NTA2010,8522,8,West New Brighton-New Brighton-St. George,6.0,30.9,33.6,73.8,"31,284",26.2
2015-19,NTA2010,8524,8,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,16.4,1.9,10.4,30.5,"32,077",69.5
2015-19,NTA2010,8525,8,Oakwood-Oakwood Beach,6.3,2.0,14.5,25.5,"20,485",74.5
2015-19,NTA2010,8528,8,Port Richmond,8.9,18.2,35.4,64.7,"19,293",35.3
2015-19,NTA2010,8532,8,Rossville-Woodrow,4.1,0.1,7.4,13.4,"21,870",86.6
2015-19,NTA2010,8535,8,New Brighton-Silver Lake,5.1,8.9,23.7,40.5,"17,349",59.5
2015-19,NTA2010,8536,8,Old Town-Dongan Hills-South Beach,10.1,4.2,17.6,34.5,"26,447",65.5
2015-19,NTA2010,8537,8,Stapleton-Rosebank,13.0,21.2,27.1,64.7,"25,281",35.3
2015-19,NTA2010,8545,8,New Dorp-Midland Beach,8.2,3.6,16.8,29.5,"21,208",70.5
2015-19,NTA2010,8548,8,Arden Heights,5.8,1.0,14.9,23.1,"26,887",76.9
2015-19,NTA2010,8554,8,Great Kills,5.1,0.9,9.0,15.9,"41,724",84.1
2015-19,CD,101,6,Financial District (CD1),15.2,2.4,7.2,28.2,"155,694",71.8
2015-19,CD,102,6,Greenwich Village and Soho (CD2),15.2,2.4,7.2,28.2,"155,694",71.8
2015-19,CD,103,6,Lower East Side and Chinatown (CD3),30.8,8.6,24.1,66.5,"154,554",33.5
2015-19,CD,104,6,Clinton and Chelsea (CD4),16.8,5.1,15.8,40.9,"158,185",59.1
2015-19,CD,105,6,Midtown (CD5),16.8,5.1,15.8,40.9,"158,185",59.1
2015-19,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),17.0,4.3,7.8,31.6,"148,806",68.4
2015-19,CD,107,6,Upper West Side (CD7),9.9,5.6,14.5,32.7,"194,143",67.3
2015-19,CD,108,6,Upper East Side (CD8),10.7,2.4,9.9,25.7,"214,957",74.3
2015-19,CD,109,6,Morningside Heights and Hamilton Heights (CD9),8.6,20.1,39.2,71.0,"131,080",29.0
2015-19,CD,110,6,Central Harlem (CD10),3.6,54.9,23.9,85.5,"136,089",14.5
2015-19,CD,111,6,East Harlem (CD11),7.3,31.4,45.4,86.2,"119,883",13.8
2015-19,CD,112,6,Washington Heights and Inwood (CD12),2.9,7.5,68.4,80.6,"216,569",19.4
2015-19,CD,201,6,Mott Haven and Melrose (CD1),0.6,27.0,69.1,97.8,"149,867",2.2
2015-19,CD,202,6,Hunts Point and Longwood (CD2),0.6,27.0,69.1,97.8,"149,867",2.2
2015-19,CD,203,6,Morrisania and Crotona (CD3),0.9,32.0,61.9,96.2,"171,827",3.8
2015-19,CD,204,6,Highbridge and Concourse (CD4),1.3,28.8,65.8,97.6,"141,400",2.4
2015-19,CD,205,6,Fordham and University Heights (CD5),1.4,26.2,69.8,98.8,"139,656",1.2
2015-19,CD,206,6,Belmont and East Tremont (CD6),0.9,32.0,61.9,96.2,"171,827",3.8
2015-19,CD,207,6,Kingsbridge Heights and Bedford (CD7),5.2,14.5,72.7,94.5,"132,128",5.5
2015-19,CD,208,6,Riverdale and Fieldston (CD8),4.2,12.0,48.7,67.8,"109,938",32.2
2015-19,CD,209,6,Parkchester and Soundview (CD9),8.2,28.4,57.8,97.0,"185,535",3.0
2015-19,CD,210,6,Throgs Neck and Co-op City (CD10),3.1,28.7,40.4,74.2,"119,621",25.8
2015-19,CD,211,6,Morris Park and Bronxdale (CD11),8.3,21.9,46.2,78.8,"126,733",21.2
2015-19,CD,212,6,Williamsbridge and Baychester (CD12),2.8,63.5,24.7,93.7,"150,806",6.3
2015-19,CD,301,6,Greenpoint and Williamsburg (CD1),6.9,3.8,23.2,36.5,"162,743",63.5
2015-19,CD,302,6,Fort Greene and Brooklyn Heights (CD2),9.5,24.0,13.9,52.2,"141,952",47.8
2015-19,CD,303,6,Bedford Stuyvesant (CD3),3.5,48.4,18.3,72.5,"149,313",27.5
2015-19,CD,304,6,Bushwick (CD4),4.9,18.3,55.2,80.9,"129,193",19.1
2015-19,CD,305,6,East New York and Starrett City (CD5),4.6,51.9,37.3,95.9,"161,273",4.1
2015-19,CD,306,6,Park Slope and Carroll Gardens (CD6),7.4,8.1,14.7,35.5,"117,784",64.5
2015-19,CD,307,6,Sunset Park (CD7),31.2,2.9,39.3,75.6,"140,195",24.4
2015-19,CD,308,6,Crown Heights and Prospect Heights (CD8),3.8,54.7,13.0,75.3,"134,083",24.7
2015-19,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),1.9,62.0,8.9,75.8,"107,532",24.2
2015-19,CD,310,6,Bay Ridge and Dyker Heights (CD10),24.5,2.3,17.0,46.3,"122,732",53.7
2015-19,CD,311,6,Bensonhurst (CD11),41.0,1.1,16.3,61.1,"189,058",38.9
2015-19,CD,312,6,Borough Park (CD12),14.2,2.2,10.0,28.8,"154,796",71.2
2015-19,CD,313,6,Coney Island (CD13),14.4,10.7,15.3,43.8,"113,480",56.2
2015-19,CD,314,6,Flatbush and Midwood (CD14),10.2,30.9,15.2,59.3,"157,511",40.7
2015-19,CD,315,6,Sheepshead Bay (CD15),17.5,4.1,9.7,34.6,"151,100",65.4
2015-19,CD,316,6,Brownsville (CD16),1.3,71.4,22.5,96.8,"116,334",3.2
2015-19,CD,317,6,East Flatbush (CD17),1.3,86.5,7.5,97.1,"134,944",2.9
2015-19,CD,318,6,Flatlands and Canarsie (CD18),5.0,62.0,8.9,77.7,"205,623",22.3
2015-19,CD,401,6,Long Island City and Astoria (CD1),15.5,6.7,25.4,50.5,"163,960",49.5
2015-19,CD,402,6,Woodside and Sunnyside (CD2),36.1,1.7,30.7,71.3,"135,380",28.7
2015-19,CD,403,6,Jackson Heights (CD3),17.2,5.0,66.0,89.6,"171,657",10.4
2015-19,CD,404,6,Elmhurst and Corona (CD4),33.2,5.4,53.6,94.1,"139,682",5.9
2015-19,CD,405,6,Ridgewood and Maspeth (CD5),8.4,1.4,37.4,48.8,"186,551",51.2
2015-19,CD,406,6,Rego Park and Forest Hills (CD6),30.1,3.0,15.3,52.6,"115,881",47.4
2015-19,CD,407,6,Flushing and Whitestone (CD7),53.8,1.9,17.8,75.7,"242,631",24.3
2015-19,CD,408,6,Hillcrest and Fresh Meadows (CD8),34.2,12.3,19.6,70.8,"164,041",29.2
2015-19,CD,409,6,Kew Gardens and Woodhaven (CD9),25.6,5.9,43.1,82.5,"148,027",17.5
2015-19,CD,410,6,South Ozone Park and Howard Beach (CD10),25.2,14.1,25.6,78.2,"132,943",21.8
2015-19,CD,411,6,Bayside and Little Neck (CD11),45.1,2.7,11.7,61.5,"118,198",38.5
2015-19,CD,412,6,Jamaica and Hollis (CD12),13.1,61.1,16.1,98.1,"237,303",1.9
2015-19,CD,413,6,Queens Village (CD13),15.7,54.7,13.1,89.4,"202,641",10.6
2015-19,CD,414,6,Rockaway and Broad Channel (CD14),3.5,36.5,24.0,66.5,"128,426",33.5
2015-19,CD,501,6,St. George and Stapleton (CD1),9.1,22.0,29.0,62.5,"171,983",37.5
2015-19,CD,502,6,South Beach and Willowbrook (CD2),14.5,3.7,14.5,35.0,"138,309",65.0
2015-19,CD,503,6,Tottenville and Great Kills (CD3),4.8,0.9,10.7,17.8,"164,601",82.2
2015-19,Subboro,1,5,Mott Haven/Hunts Point,0.7,28.1,67.6,97.5,"156,731",2.5
2015-19,Subboro,2,5,Morrisania/East Tremont,0.9,32.1,61.9,96.2,"171,842",3.8
2015-19,Subboro,3,5,Highbridge/South Concourse,1.3,28.8,65.8,97.6,"141,400",2.4
2015-19,Subboro,4,5,University Heights/Fordham,1.4,26.2,69.8,98.8,"139,656",1.2
2015-19,Subboro,5,5,Kingsbridge Heights/Mosholu,5.2,14.5,72.7,94.5,"132,128",5.5
2015-19,Subboro,6,5,Riverdale/Kingsbridge,4.2,12.0,48.7,67.8,"109,938",32.2
2015-19,Subboro,7,5,Soundview/Parkchester,8.2,28.4,57.7,97.0,"185,690",3.0
2015-19,Subboro,8,5,Throgs Neck/Co-op City,3.1,28.7,40.4,74.2,"119,645",25.8
2015-19,Subboro,9,5,Pelham Parkway,8.3,21.9,46.2,78.8,"126,733",21.2
2015-19,Subboro,10,5,Williamsbridge/Baychester,2.8,63.4,24.7,93.7,"151,305",6.3
2015-19,Subboro,11,5,Williamsburg/Greenpoint,6.9,3.8,23.2,36.5,"162,743",63.5
2015-19,Subboro,12,5,Brooklyn Heights/Fort Greene,9.5,24.0,13.9,52.2,"142,235",47.8
2015-19,Subboro,13,5,Bedford Stuyvesant,3.5,48.4,18.3,72.5,"149,313",27.5
2015-19,Subboro,14,5,Bushwick,4.9,18.3,55.2,80.9,"129,193",19.1
2015-19,Subboro,15,5,East New York/Starret City,4.6,51.9,37.3,95.9,"161,273",4.1
2015-19,Subboro,16,5,Park Slope/Carroll Gardens,7.4,8.1,14.7,35.5,"117,784",64.5
2015-19,Subboro,17,5,Sunset Park,31.2,2.9,39.3,75.6,"140,195",24.4
2015-19,Subboro,18,5,N. Crown Heights/Prospect Heights,3.8,54.7,13.0,75.3,"134,083",24.7
2015-19,Subboro,19,5,South Crown Heights,1.9,62.0,8.9,75.8,"107,532",24.2
2015-19,Subboro,20,5,Bay Ridge,24.5,2.3,17.0,46.3,"122,743",53.7
2015-19,Subboro,21,5,Bensonhurst,41.0,1.1,16.3,61.1,"189,058",38.9
2015-19,Subboro,22,5,Borough Park,14.2,2.2,10.0,28.8,"154,796",71.2
2015-19,Subboro,23,5,Coney Island,14.4,10.7,15.3,43.8,"113,480",56.2
2015-19,Subboro,24,5,Flatbush,10.2,30.9,15.2,59.3,"157,511",40.7
2015-19,Subboro,25,5,Sheepshead Bay/Gravesend,17.5,4.1,9.7,34.6,"151,100",65.4
2015-19,Subboro,26,5,Brownsville/Ocean Hill,1.3,71.4,22.5,96.8,"116,334",3.2
2015-19,Subboro,27,5,East Flatbush,1.3,86.5,7.5,97.1,"134,970",2.9
2015-19,Subboro,28,5,Flatlands/Canarsie,5.0,62.0,8.9,77.7,"205,631",22.3
2015-19,Subboro,29,5,Greenwich Village/Financial District,15.2,2.4,7.2,28.2,"155,694",71.8
2015-19,Subboro,30,5,Lower East Side/Chinatown,30.8,8.6,24.1,66.5,"154,554",33.5
2015-19,Subboro,31,5,Chelsea/Clinton/Midtown,16.8,5.1,15.8,40.9,"158,185",59.1
2015-19,Subboro,32,5,Stuyvesant Town/Turtle Bay,17.0,4.3,7.8,31.6,"148,806",68.4
2015-19,Subboro,33,5,Upper West Side,9.9,5.6,14.5,32.7,"194,145",67.3
2015-19,Subboro,34,5,Upper East Side,10.7,2.4,9.9,25.7,"214,957",74.3
2015-19,Subboro,35,5,Morningside Heights/Hamilton Heights,8.6,20.1,39.2,71.0,"131,080",29.0
2015-19,Subboro,36,5,Central Harlem,3.6,54.9,23.9,85.5,"136,089",14.5
2015-19,Subboro,37,5,East Harlem,7.3,31.7,45.1,86.2,"121,892",13.8
2015-19,Subboro,38,5,Washington Heights/Inwood,2.9,7.5,68.3,80.6,"216,591",19.4
2015-19,Subboro,39,5,Astoria,15.5,6.7,25.4,50.5,"163,960",49.5
2015-19,Subboro,40,5,Sunnyside/Woodside,36.1,1.7,30.7,71.3,"135,380",28.7
2015-19,Subboro,41,5,Jackson Heights,17.2,5.0,66.0,89.6,"171,657",10.4
2015-19,Subboro,42,5,Elmhurst/Corona,33.2,5.4,53.6,94.1,"139,682",5.9
2015-19,Subboro,43,5,Middle Village/Ridgewood,8.4,1.4,37.4,48.8,"186,568",51.2
2015-19,Subboro,44,5,Forest Hills/Rego Park,30.1,3.0,15.3,52.6,"115,881",47.4
2015-19,Subboro,45,5,Flushing/Whitestone,53.8,1.9,17.8,75.7,"242,631",24.3
2015-19,Subboro,46,5,Hillcrest/Fresh Meadows,34.2,12.3,19.6,70.8,"164,041",29.2
2015-19,Subboro,47,5,Kew Gardens/Woodhaven,25.6,5.9,43.1,82.5,"148,027",17.5
2015-19,Subboro,48,5,Howard Beach/South Ozone Park,25.2,14.1,25.6,78.2,"132,943",21.8
2015-19,Subboro,49,5,Bayside/Little Neck,45.1,2.7,11.7,61.5,"118,237",38.5
2015-19,Subboro,50,5,Jamaica,13.1,61.1,16.1,98.1,"237,303",1.9
2015-19,Subboro,51,5,Bellerose/Rosedale,15.7,54.7,13.1,89.4,"202,745",10.6
2015-19,Subboro,52,5,Rockaways,3.5,36.5,24.0,66.5,"128,437",33.5
2015-19,Subboro,53,5,North Shore,9.1,22.0,29.0,62.5,"171,983",37.5
2015-19,Subboro,54,5,Mid Island,14.6,3.7,14.5,35.0,"138,286",65.0
2015-19,Subboro,55,5,South Shore,4.8,0.9,10.7,17.8,"164,624",82.2
2015-19,UHF42,101,4,Kingsbridge - Riverdale,4.1,11.4,44.0,62.5,"93,554",37.5
2015-19,UHF42,102,4,Northeast Bronx,3.9,58.4,26.2,91.3,"205,957",8.7
2015-19,UHF42,103,4,Fordham - Bronx Pk,3.8,21.7,65.5,93.0,"265,756",7.0
2015-19,UHF42,104,4,Pelham - Throgs Neck,7.8,20.8,53.1,84.0,"301,133",16.0
2015-19,UHF42,105,4,Crotona -Tremont,1.3,27.2,68.4,98.3,"215,970",1.7
2015-19,UHF42,106,4,High Bridge - Morrisania,1.1,32.1,63.1,97.9,"216,305",2.1
2015-19,UHF42,107,4,Hunts Point - Mott Haven,0.5,27.4,68.9,97.9,"140,122",2.1
2015-19,UHF42,201,4,Greenpoint,5.2,3.4,21.8,33.3,"139,995",66.7
2015-19,UHF42,202,4,Downtown - Heights - Slope,8.5,14.3,15.1,42.7,"259,781",57.3
2015-19,UHF42,203,4,Bedford Stuyvesant - Crown Heights,3.0,60.7,14.1,80.7,"335,096",19.3
2015-19,UHF42,204,4,East New York,4.0,53.6,36.3,96.2,"192,396",3.8
2015-19,UHF42,205,4,Sunset Park,36.3,2.7,43.2,84.1,"119,600",15.9
2015-19,UHF42,206,4,Borough Park,21.9,4.1,12.8,41.5,"324,318",58.5
2015-19,UHF42,207,4,East Flatbush - Flatbush,2.9,67.4,10.4,83.2,"297,167",16.8
2015-19,UHF42,208,4,Canarsie - Flatlands,4.7,63.7,9.9,79.9,"207,150",20.1
2015-19,UHF42,209,4,Bensonhurst - Bay Ridge,29.1,1.8,16.4,49.8,"204,774",50.2
2015-19,UHF42,210,4,Coney Island - Sheepshead Bay,18.5,6.4,12.3,40.6,"289,077",59.4
2015-19,UHF42,211,4,Williamsburg - Bushwick,5.5,25.8,41.9,75.5,"220,620",24.5
2015-19,UHF42,301,4,Washington Heights,3.2,10.8,64.1,80.1,"268,348",19.9
2015-19,UHF42,302,4,Central Harlem - Morningside Heights,5.6,48.3,25.7,82.8,"182,949",17.2
2015-19,UHF42,303,4,East Harlem,7.3,30.1,46.3,85.8,"112,761",14.2
2015-19,UHF42,304,4,Upper West Side,10.0,6.2,16.0,34.7,"218,945",65.3
2015-19,UHF42,305,4,Upper East Side,10.7,2.4,9.9,25.8,"215,392",74.2
2015-19,UHF42,306,4,Chelsea - Clinton,16.6,5.2,15.7,40.6,"156,857",59.4
2015-19,UHF42,307,4,Gramercy Park - Murray Hill,17.4,4.3,8.4,32.8,"135,768",67.2
2015-19,UHF42,308,4,Greenwich Village - SoHo,17.8,2.4,7.1,31.0,"82,461",69.0
2015-19,UHF42,309,4,Union Square - Lower East Side,25.2,7.0,20.3,55.1,"186,749",44.9
2015-19,UHF42,310,4,Lower Manhattan,21.7,4.6,9.9,40.0,"61,168",60.0
2015-19,UHF42,401,4,Long Island City - Astoria,18.4,5.5,24.6,51.5,"202,875",48.5
2015-19,UHF42,402,4,West Queens,25.9,4.9,52.0,84.7,"454,789",15.3
2015-19,UHF42,403,4,Flushing - Clearview,52.9,1.8,17.4,74.4,"253,041",25.6
2015-19,UHF42,404,4,Bayside - Little Neck,44.4,3.3,11.7,61.4,"88,855",38.6
2015-19,UHF42,405,4,Ridgewood - Forest Hills,17.4,2.1,28.5,50.7,"262,328",49.3
2015-19,UHF42,406,4,Fresh Meadows,36.9,7.0,17.7,65.1,"100,305",34.9
2015-19,UHF42,407,4,Southwest Queens,25.4,9.7,34.8,80.4,"280,764",19.6
2015-19,UHF42,408,4,Jamaica,18.6,50.1,17.5,93.3,"312,563",6.7
2015-19,UHF42,409,4,Southeast Queens,18.5,42.6,14.1,80.3,"317,546",19.7
2015-19,UHF42,410,4,Rockaways,3.5,36.5,24.0,66.5,"128,437",33.5
2015-19,UHF42,501,4,Port Richmond,7.4,25.0,36.4,70.8,"69,238",29.2
2015-19,UHF42,502,4,Stapleton - St. George,10.8,17.7,21.2,52.3,"122,118",47.7
2015-19,UHF42,503,4,Willowbrook,16.7,3.2,15.3,37.6,"89,792",62.4
2015-19,UHF42,504,4,South Beach - Tottenville,5.4,1.4,11.7,19.9,"193,745",80.1
2015-19,Borough,1,1,Bronx,3.6,29.2,56.0,90.9,"1,435,068",9.1
2015-19,Borough,2,1,Brooklyn,11.8,30.0,19.0,63.6,"2,589,974",36.4
2015-19,Borough,3,1,Manhattan,12.1,12.5,25.8,53.1,"1,631,993",46.9
2015-19,Borough,4,1,Queens,25.3,17.2,28.0,75.0,"2,287,388",25.0
2015-19,Borough,5,1,Staten Island,9.2,9.4,18.4,39.0,"474,893",61.0
2015-19,Citywide,1,0,New York City,14.0,21.8,29.1,67.9,"8,419,316",32.1
2014-18,NTA2010,501,8,Claremont-Bathgate,0.1,37.3,60.6,99.0,"35,560",1.0
2014-18,NTA2010,503,8,Eastchester-Edenwald-Baychester,4.2,66.0,24.6,96.9,"37,887",3.1
2014-18,NTA2010,505,8,Bedford Park-Fordham North,3.8,15.6,75.0,95.8,"57,685",4.2
2014-18,NTA2010,506,8,Belmont,2.1,16.3,61.0,81.8,"29,115",18.2
2014-18,NTA2010,507,8,Bronxdale,2.9,26.1,54.9,86.1,"39,423",13.9
2014-18,NTA2010,508,8,West Farms-Bronx River,2.8,26.6,65.8,97.3,"36,014",2.7
2014-18,NTA2010,509,8,Soundview-Castle Hill-Clason Point-Harding Park,1.3,34.1,60.4,97.3,"54,925",2.7
2014-18,NTA2010,510,8,Pelham Bay-Country Club-City Island,3.7,4.3,41.4,50.6,"26,877",49.4
2014-18,NTA2010,513,8,Co-op City,2.3,59.2,28.3,93.4,"47,400",6.6
2014-18,NTA2010,514,8,East Concourse-Concourse Village,1.4,31.2,63.3,98.4,"64,850",1.6
2014-18,NTA2010,517,8,East Tremont,0.7,28.3,68.8,98.6,"44,057",1.4
2014-18,NTA2010,522,8,North Riverdale-Fieldston-Riverdale,5.1,8.9,21.6,38.2,"27,551",61.8
2014-18,NTA2010,526,8,Highbridge,0.5,32.1,64.3,97.5,"39,140",2.5
2014-18,NTA2010,527,8,Hunts Point,0.4,26.5,70.7,98.3,"26,196",1.7
2014-18,NTA2010,528,8,Van Cortlandt Village,3.7,16.1,69.7,92.0,"50,935",8.0
2014-18,NTA2010,529,8,Spuyten Duyvil-Kingsbridge,4.9,8.2,38.7,54.3,"31,295",45.7
2014-18,NTA2010,530,8,Kingsbridge Heights,2.3,15.6,75.7,96.5,"32,163",3.5
2014-18,NTA2010,531,8,Allerton-Pelham Gardens,9.8,31.0,36.3,79.0,"31,993",21.0
2014-18,NTA2010,533,8,Longwood,1.5,25.7,69.9,98.3,"27,864",1.7
2014-18,NTA2010,534,8,Melrose South-Mott Haven North,0.6,30.4,65.6,98.3,"42,882",1.7
2014-18,NTA2010,535,8,Morrisania-Melrose,1.0,38.2,58.3,98.8,"40,925",1.2
2014-18,NTA2010,536,8,University Heights-Morris Heights,1.5,27.8,68.9,98.9,"56,293",1.1
2014-18,NTA2010,537,8,Van Nest-Morris Park-Westchester Square,10.0,11.8,51.5,75.7,"29,004",24.3
2014-18,NTA2010,539,8,Mott Haven-Port Morris,0.4,28.0,68.8,98.1,"54,163",1.9
2014-18,NTA2010,540,8,Fordham South,0.4,25.3,71.6,99.3,"28,164",0.7
2014-18,NTA2010,541,8,Mount Hope,1.4,26.4,69.0,98.7,"53,198",1.3
2014-18,NTA2010,543,8,Norwood,10.7,13.5,63.5,90.3,"42,227",9.7
2014-18,NTA2010,544,8,Williamsbridge-Olinville,1.3,68.3,26.4,97.6,"66,606",2.4
2014-18,NTA2010,546,8,Parkchester,16.2,40.3,38.2,98.0,"30,372",2.0
2014-18,NTA2010,549,8,Pelham Parkway,10.0,13.9,43.4,69.3,"28,913",30.7
2014-18,NTA2010,552,8,Schuylerville-Throgs Neck-Edgewater Park,3.4,9.6,49.2,63.7,"46,810",36.3
2014-18,NTA2010,555,8,Soundview-Bruckner,8.7,21.5,63.9,97.0,"37,130",3.0
2014-18,NTA2010,559,8,Westchester-Unionport,13.8,17.7,59.9,95.7,"28,302",4.3
2014-18,NTA2010,562,8,Woodlawn-Wakefield,5.1,58.5,17.8,84.9,"43,858",15.1
2014-18,NTA2010,563,8,West Concourse,2.1,22.1,71.2,98.0,"38,081",2.0
2014-18,NTA2010,575,8,Crotona Park East,1.6,29.6,67.6,99.2,"22,103",0.8
2014-18,NTA2010,4709,8,Brooklyn Heights-Cobble Hill,9.3,5.8,7.3,27.4,"24,168",72.6
2014-18,NTA2010,4717,8,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,19.8,6.5,9.2,37.6,"65,631",62.4
2014-18,NTA2010,4719,8,Brighton Beach,13.8,0.7,10.7,28.8,"34,431",71.2
2014-18,NTA2010,4721,8,Seagate-Coney Island,8.7,29.2,27.9,68.3,"32,259",31.7
2014-18,NTA2010,4723,8,West Brighton,0.8,1.7,3.9,7.4,"16,774",92.6
2014-18,NTA2010,4725,8,Homecrest,9.8,1.9,11.8,27.2,"45,007",72.8
2014-18,NTA2010,4726,8,Gravesend,23.3,7.5,20.9,55.8,"30,587",44.2
2014-18,NTA2010,4727,8,Bath Beach,37.1,1.1,18.1,58.8,"33,020",41.2
2014-18,NTA2010,4728,8,Bensonhurst West,41.9,0.9,16.8,61.4,"90,847",38.6
2014-18,NTA2010,4729,8,Bensonhurst East,41.0,1.0,13.5,57.9,"65,502",42.1
2014-18,NTA2010,4730,8,Dyker Heights,40.4,0.9,13.7,56.3,"43,888",43.7
2014-18,NTA2010,4731,8,Bay Ridge,15.5,2.8,18.2,39.3,"79,187",60.7
2014-18,NTA2010,4732,8,Sunset Park West,15.5,3.3,61.5,82.1,"54,667",17.9
2014-18,NTA2010,4733,8,Carroll Gardens-Columbia Street-Red Hook,5.9,11.9,17.3,40.7,"43,766",59.3
2014-18,NTA2010,4734,8,Sunset Park East,51.6,1.4,30.9,85.4,"66,348",14.6
