TimePeriod,Geography,Hispanic alone (percent)
2017-21,Bayside,12.1
2017-21,Douglaston-Little Neck,9.9
2017-21,Oakland Gardens-Hollis Hills,17.3
2017-21,Jamaica,35.4
2017-21,South Jamaica,13.4
2017-21,Baisley Park,13.5
2017-21,Springfield Gardens (North)-Rochdale Village,8.8
2017-21,St. Albans,6.8
2017-21,Hollis,12.9
2017-21,Glen Oaks-Floral Park-New Hyde Park,9.0
2017-21,Bellerose,21.0
2017-21,Queens Village,21.4
2017-21,Cambria Heights,5.8
2017-21,Laurelton,6.6
2017-21,Springfield Gardens (South)-Brookville,9.3
2017-21,Rosedale,9.8
2017-21,Far Rockaway-Bayswater,24.3
2017-21,Rockaway Beach-Arverne-Edgemere,28.6
2017-21,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,11.8
2017-21,St. George-New Brighton,36.0
2017-21,Tompkinsville-Stapleton-Clifton-Fox Hills,30.9
2017-21,Rosebank-Shore Acres-Park Hill,24.1
2017-21,West New Brighton-Silver Lake-Grymes Hill,20.8
2017-21,Westerleigh-Castleton Corners,16.9
2017-21,Port Richmond,41.8
2017-21,Mariner's Harbor-Arlington-Graniteville,37.6
2017-21,Grasmere-Arrochar-South Beach-Dongan Hills,14.0
2017-21,New Dorp-Midland Beach,17.2
2017-21,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,9.2
2017-21,New Springville-Willowbrook-Bulls Head-Travis,16.4
2017-21,Oakwood-Richmondtown,13.3
2017-21,Great Kills-Eltingville,12.3
2017-21,Arden Heights-Rossville,14.7
2017-21,Annadale-Huguenot-Prince's Bay-Woodrow,6.6
2017-21,Tottenville-Charleston,11.3
2017-21,Melrose-Mott Haven-Port Morris (CD 1),69.8
2017-21,Longwood-Hunts Point (CD 2),72.7
2017-21,Morrisania-Crotona Park East (CD 3),55.4
2017-21,Highbridge-Concourse (CD 4),63.9
2017-21,Morris Heights-Mount Hope (CD 5),68.9
2017-21,Tremont-Belmont-West Farms (CD 6),64.3
2017-21,Fordham-Bedford Park-Norwood (CD 7),73.3
2017-21,Riverdale-Kingsbridge-Marble Hill (CD 8),50.3
2017-21,Soundview-Parkchester (CD 9),58.2
2017-21,Co-op City-Throgs Neck (CD 10),43.1
2017-21,Pelham Parkway-Morris Park (CD 11),46.1
2017-21,Wakefield-Williamsbridge-Eastchester (CD 12),28.2
2017-21,Williamsburg-Greenpoint (CD 1),24.1
2017-21,Downtown Brooklyn-Fort Greene (CD 2),13.5
2017-21,Bedford-Stuyvesant (CD 3),18.0
2017-21,Bushwick (CD 4),51.7
2017-21,East New York-Cypress Hills (CD 5),35.8
2017-21,Park Slope-Carroll Gardens (CD 6),15.3
2017-21,Sunset Park-Windsor Terrace (CD 7),39.2
2017-21,Crown Heights (North) (CD 8),12.6
2017-21,Crown Heights (South) (CD 9),9.5
2017-21,Bay Ridge-Dyker Heights (CD 10),17.6
2017-21,Bensonhurst-Bath Beach (CD 11),16.0
2017-21,Borough Park-Kensington (CD 12),12.5
2017-21,Coney Island-Brighton Beach (CD 13),16.3
2017-21,Flatbush-Midwood (CD 14),14.5
2017-21,Sheepshead Bay-Gravesend (East) (CD 15),9.6
2017-21,Ocean Hill-Brownsville (CD 16),22.7
2017-21,East Flatbush (CD 17),6.9
2017-21,Canarsie-Flatlands (CD 18),8.5
2017-21,Financial District-Tribeca (CD 1),8.5
2017-21,Greenwich Village-SoHo (CD 2),8.1
2017-21,Lower East Side-Chinatown (CD 3),23.8
2017-21,Chelsea-Hell's Kitchen (CD 4),18.9
2017-21,Midtown-Flatiron-Union Square (CD 5),11.7
2017-21,East Midtown-Murray Hill (CD 6),8.8
2017-21,Upper West Side (CD 7),15.2
2017-21,Upper East Side-Roosevelt Island (CD 8),9.0
2017-21,Morningside Heights-Hamilton Heights (CD 9),39.7
2017-21,Harlem (CD 10),23.5
2017-21,East Harlem (CD 11),43.7
2017-21,Washington Heights-Inwood (CD 12),67.9
2017-21,Astoria-Queensbridge (CD 1),26.1
2017-21,Long Island City-Sunnyside-Woodside (CD 2),31.0
2017-21,Jackson Heights-East Elmhurst (CD 3),61.4
2017-21,Elmhurst-Corona (CD 4),53.7
2017-21,Ridgewood-Maspeth-Middle Village (CD 5),38.6
2017-21,Forest Hills-Rego Park (CD 6),16.1
2017-21,Flushing-Murray Hill-Whitestone (CD 7),17.9
2017-21,Fresh Meadows-Hillcrest-Briarwood (CD 8),19.2
2017-21,Kew Gardens-Richmond Hill-Woodhaven (CD 9),41.6
2017-21,South Ozone Park-Howard Beach (CD 10),25.8
2017-21,Auburndale-Bayside-Douglaston (CD 11),13.9
2017-21,Jamaica-St. Albans-Hollis (CD 12),16.4
2017-21,Queens Village-Bellerose-Rosedale (CD 13),13.5
2017-21,The Rockaways (CD 14),23.3
2017-21,North Shore (CD 1),28.5
2017-21,Mid-Island (CD 2),14.3
2017-21,South Shore (CD 3),11.3
2017-21,Kingsbridge - Riverdale,45.6
2017-21,Northeast Bronx,27.7
