TimePeriod,GeoType,Geography,Percent
2017-21,Borough,Bronx,26.5
2017-21,Borough,Brooklyn,18.8
2017-21,Borough,Manhattan,15.6
2017-21,Borough,Queens,11.4
2017-21,Borough,Staten Island,10.3
