TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number (age 18+),Estimated annual number (under age 18),"Estimated annual rate (age 18+) per 100,000 adults","Estimated annual rate (under age 18) per 100,000 children"
2015-2017,UHF42,310,4,Lower Manhattan,10.0,2.8,19.2,35.4
2015-2017,UHF42,401,4,Long Island City - Astoria,40.1,15.3,21.8,46.1
2015-2017,UHF42,402,4,West Queens,55.6,58.9,14.7,60.2
2015-2017,UHF42,403,4,Flushing - Clearview,17.4,13.0,7.9,29.4
2015-2017,UHF42,404,4,Bayside - Little Neck,3.6,2.1,4.9,12.2
2015-2017,UHF42,405,4,Ridgewood - Forest Hills,26.6,15.8,12.8,32.2
2015-2017,UHF42,406,4,Fresh Meadows,10.3,7.8,12.7,36.2
2015-2017,UHF42,407,4,Southwest Queens,42.7,28.7,18.6,43.0
2015-2017,UHF42,408,4,Jamaica,75.6,47.7,29.7,69.6
2015-2017,UHF42,409,4,Southeast Queens,31.1,16.6,17.9,39.5
2015-2017,UHF42,410,4,Rockaways,36.1,17.5,39.0,55.0
2015-2017,UHF42,501,4,Port Richmond,22.7,12.1,45.6,66.9
2015-2017,UHF42,502,4,Stapleton - St. George,31.3,13.4,32.0,49.5
2015-2017,UHF42,503,4,Willowbrook,9.2,3.4,12.9,18.8
2015-2017,UHF42,504,4,South Beach - Tottenville,14.2,5.6,9.2,13.7
2015-2017,Borough,1,1,Bronx,736.1,538.7,67.0,146.9
2015-2017,Borough,2,1,Brooklyn,714.5,377.1,34.9,62.5
2015-2017,Borough,3,1,Manhattan,491.5,221.2,34.8,93.5
2015-2017,Borough,4,1,Queens,339.0,223.6,17.9,47.3
2015-2017,Borough,5,1,Staten Island,77.5,34.5,20.8,33.1
2015-2017,Citywide,1,0,New York City,"2,358.7","1,395.1",34.6,78.2
2012-2014,UHF42,101,4,Kingsbridge - Riverdale,20.1,15.2,27.1,82.3
2012-2014,UHF42,102,4,Northeast Bronx,86.9,61.5,57.7,139.9
2012-2014,UHF42,103,4,Fordham - Bronx Pk,149.0,131.8,77.6,191.4
2012-2014,UHF42,104,4,Pelham - Throgs Neck,137.0,98.3,58.8,133.9
2012-2014,UHF42,105,4,Crotona -Tremont,178.4,132.3,118.1,214.1
2012-2014,UHF42,106,4,High Bridge - Morrisania,180.3,141.9,117.4,232.5
2012-2014,UHF42,107,4,Hunts Point - Mott Haven,131.7,95.8,130.6,233.2
2012-2014,UHF42,201,4,Greenpoint,27.5,12.1,26.9,43.5
2012-2014,UHF42,202,4,Downtown - Heights - Slope,67.8,32.8,35.8,76.9
2012-2014,UHF42,203,4,Bedford Stuyvesant - Crown Heights,225.3,123.7,91.2,164.8
2012-2014,UHF42,204,4,East New York,116.3,74.7,84.9,141.6
2012-2014,UHF42,205,4,Sunset Park,29.0,14.3,28.0,45.5
2012-2014,UHF42,206,4,Borough Park,27.8,19.1,11.2,18.7
2012-2014,UHF42,207,4,East Flatbush - Flatbush,117.0,69.1,49.9,102.4
2012-2014,UHF42,208,4,Canarsie - Flatlands,54.0,31.8,35.1,70.9
2012-2014,UHF42,209,4,Bensonhurst - Bay Ridge,18.5,7.9,10.4,18.1
2012-2014,UHF42,210,4,Coney Island - Sheepshead Bay,43.5,18.1,17.9,29.4
2012-2014,UHF42,211,4,Williamsburg - Bushwick,154.5,90.8,97.2,165.3
2012-2014,UHF42,301,4,Washington Heights,83.9,54.3,40.4,111.6
2012-2014,UHF42,302,4,Central Harlem - Morningside Heights,154.2,84.1,116.4,253.1
2012-2014,UHF42,303,4,East Harlem,114.8,59.5,129.6,241.3
2012-2014,UHF42,304,4,Upper West Side,45.3,21.4,23.5,63.9
2012-2014,UHF42,305,4,Upper East Side,15.6,8.0,8.0,24.4
2012-2014,UHF42,306,4,Chelsea - Clinton,39.0,9.3,28.5,75.6
